width height gridlength
24,8.059183,20
playerCoor
18,18
winBlock
6,11,32
MazeWalls
1,1
1,2
1,3
1,4
1,5
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
2,2
2,4
2,5
2,6
2,8
2,18
3,2
3,4
3,6
3,8
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
4,2
4,4
4,18
5,4
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
6,1
6,2
6,18
7,2
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
8,8
8,9
8,18
9,9
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
10,2
10,3
10,4
10,5
10,6
10,7
10,9
11,2
11,3
11,4
11,5
11,9
11,14
11,15
11,16
11,17
11,18
12,3
12,4
12,10
12,11
12,12
12,17
12,18
13,1
13,4
13,6
13,7
13,10
13,14
13,15
13,18
14,1
14,4
14,7
14,10
14,11
14,14
14,15
14,16
14,17
14,18
15,1
15,4
15,5
15,7
15,8
16,1
16,2
16,3
16,4
16,5
16,7
16,8
16,9
16,10
16,11
16,17
16,18
17,1
17,7
17,8
17,9
17,10
17,11
17,13
17,14
17,17
18,1
18,2
18,3
18,4
18,5
18,10
18,11
18,13
18,14
18,15
MazeBlocks
14,13,2
8,5,2
4,5,2
12,6,2
15,11,2
15,3,4
18,8,8
11,11,16
8,16,32
END
